roberta_(black_lagoon),罗贝尔特(黑礁)
elizabeth_bathory_(second_ascension)_(fate),伊丽莎白·巴托里(二破)(Fate)
poochyena,土狼犬
soresaki,Soresaki
warp_star,沃普星
leather_strap,皮带
brooke_(mleth),Brooke
wednesday_(netflix),星期三(Netflix)
padoru_(meme),Padoru(梗)
spicy_bardo,Spicy_Bardo
canking,Canking
purple_blood,紫血
turn_a_gundam_(mobile_suit),倒A高达(机体)
relaxjon,Relaxjon
nekofish666,Nekofish666
suou_(sdurorhr),Suou
dark_miku_(project_voltage),暗初音(Project_Voltage)
samus_aran_(cosplay),萨姆斯·阿兰(Cosplay)
sakura_ayane,佐仓绫音
tangela,蔓藤怪
murata_himeko_(vermillion_knight),无量塔姬子(真红骑士)
zipper_footwear,拉链鞋
borgbutler,Borgbutler
snot_trail,鼻涕痕迹
faerie_knights_(fate),妖精骑士(Fate)
wonder_egg_priority,奇蛋物语
sha2mo,Sha2mo
transparent_fan,透明扇子
yuta_agc,Yuta_Agc
hakama_lift,掀袴
digimon_adventure_tri.,数码宝贝大冒险tri.
product_girl,看板娘
nakamura_sumikage,中村澄影
two-tone_nails,双色指甲
kawajiri_kosaku,川尻浩作
elfheim,Elfheim
carro_pino,Carro_Pino
galibo,Galibo
holding_wreath,拿着花环
palanquin_ship,轿船
es_(eisis),Es
altera_the_santa_(fate),阿提拉·圣诞(Fate)
sagging_testicles,下垂睾丸
cure_bloom,Cure_Bloom
torn_vest,破背心
kunkun,Kunkun
clyde_s,Clyde_S
machiko_(beard),Machiko
mary_stuart,玛丽·斯图亚特
atem,阿图姆
yomiyama_north_junior_high_school_uniform,夜见山北中学具校服
kumasyan1998,Kumasyan1998
kitsune_spirit_(doitsuken),狐狸精(Doitsuken)
daisi_gi,Daisi_Gi
fc_(efushii),Fc
takakura_kanba,高仓冠叶
burning_building,燃烧的建筑
artery_gear,机动战姬：聚变
supon,Supon
yakitate!!_japan,日式面包王
z.o.b,Z.O.B
onjouji_toki,园城寺怜
captain_(master_of_eternity),舰长(Master_of_Eternity)
kameponde,Kameponde
sekine_shiori,关根栞
eyes_of_grima,基姆雷之眼
bunny_ears_prank,兔耳恶作剧
tatsugiri_(curly),米立龙(上弓)
condom_thigh_strap,避孕套腿带
orange_print,橙色印花
dasha,Dasha
soon_(c-u-soon),Soon
kissing_animal,亲吻动物
yoracrab,Yoracrab
eta,Eta
pineapple_slice,菠萝片
dolri,Dolri
cloud_focus,对焦云
tsurumi_tokushirou,鹤见笃四郎
evil_twin_ki-sikil,邪恶双子_姬丝基勒
tuxedo_shirt,燕尾服衬衫
fatherly,慈父般
blood_on_gloves,手套上有血
saya_(scabbard),鞘
stellar_loussier,斯黛拉·鲁西耶
aqua_rose,水蓝玫瑰
tatahai,Tatahai
murata_ugetsu,村雨月
super_robot_wars_z,超级机器人大战Z
hololive_gamers,Hololive_Gamers
bankage,Bankage
luna-p,露娜P
okino_tsukasa,冲野司
teffish,Teffish
ar_(lover_boy),Ar
aoi_masami,葵雅美
wakamesan,Wakamesan
okonomiyaki,大阪烧
miy@,Miy@
sv-98_(girls'_frontline),SV-98(少女前线)
springfield_(stirring_mermaid)_(girls'_frontline),春田(灯火下的女王)(少女前线)
execution,处决
anno_aano,Anno_Aano
kirishima_romin,雾岛露明
chevrolet,雪佛兰
nanashi_mumei_(new_year),七诗姆梅(新年)
chintora0201,Chintora0201
jinki,Jinki
tobisawa,Tobisawa
asou_(asabu202),Asou
hinata_momo,日向桃
medea_(lily)_(fate),美狄亚(Lily)(Fate)
black_cat_(marvel),黑猫(漫威)
yahako,Yahako
saratoga_(warship_girls_r),萨拉托加(战舰少女R)
proto_man,布鲁斯(洛克人)
nueco,Nueco
orange_pubic_hair,橙阴毛
mokku,Mokku
utahane,Utahane
kurokaji,Kurokaji
changye,Changye
koizumi_amane,小泉安娜
nyum,Nyum
wolf_pelt,狼皮
chain_chronicle,锁链战记
earmuffs_around_neck,耳罩挂脖子上
nel_zelpher,奈尔·泽尔法
johan_andersen,约翰·安德森
hangaku,Hangaku
ganto,Ganto
kaneru,Kaneru
koma_midori,古间圆
cyril_brooklyn,西里尔·布鲁克林
irisu_fuyumi,入须冬实
damegane,Damegane
gold_leotard,金连体衣
kamui_(gintama),神威(银魂)
cheshirrr,Cheshirrr
sakura_(medilore),Sakura
why_dis_ninja_look_so_mad_(meme),这忍者怎么这么生气(梗)
presenting_anus,展示肛门
katsushika_hokusai_(traveling_outfit)_(fate),葛饰北斋(旅装)(Fate)
yellow_car,黄车
kou1,Kou1
hattori_masaki,服部正姫
pig_boy,猪男孩
versailles_no_bara,凡尔赛玫瑰
adol_christin,亚特鲁·克里斯汀
polka_dot_neckerchief,波点领巾
holding_rattle,拿着拨浪鼓
crispin_(pokemon),赤松
heart_on_cheek,脸颊上有心
saliva_swap,交换唾液
bimmy,Bimmy
jurrig,Jurrig
weapon_connection,武器连接
thumb_to_mouth,拇指触嘴
konno_takashi,今野隆
mosaic_background,马赛克背景
gundam_msv,高达MSV
funeral,葬礼
krt_girls,Krt_Girls
striped_leotard,条纹连体衣
siun,Siun
shuvi_(shuvi1125),Shuvi
astolfo_(saber)_(third_ascension)_(fate),阿斯托尔福(Saber)(三破)(Fate)
mini_santa_hat,迷你圣诞帽
sig_mcx_(girls'_frontline),SIG_MCX(少女前线)
namine_ritsu,波音律
jam_(nandade),Jam
half-life_(series),半条命(系列)
sakurako_(idol)_(blue_archive),樱子(偶像)(蔚蓝档案)
impossible_towel,不可能的毛巾
same_anko,鲨鱼安科
