toy_gun,玩具枪
berry_jou,Berry_Jou
fate/unlimited_blade_works,Fate/Unlimited_Blade_Works
fujii_masahiro,藤井昌宏
spacecraft_turret,飞船炮塔
unworn_headgear,未戴头饰
suetake_(kinrui),Suetake
stormcow,Stormcow
triple_wielding,三刀流
jj_(ssspulse),Jj
isamu-ki_(yuuki),Isamu-ki
ashes,灰烬
pear_shaped_figure,梨形身材
akaneya,Akaneya
isa_(peien516),Isa
willow,威洛
tana_(fire_emblem),塔娜(火焰纹章)
serie_(sousou_no_frieren),赛丽艾(葬送的芙莉莲)
dahlia,大丽花
bilingual_commentary,双语注释
coubalty,Coubalty
fabric,布料
sakuma_rei_(ensemble_stars!),朔间零(偶像梦幻祭)
arung_samudra_(cessa),Arung_Samudra
soapland,泡泡浴
nora_valkyrie,诺拉·瓦尔基里
ni_(221),Ni
distress,痛苦
kooribata,Kooribata
lilith_(saikin_yatotta_maid_ga_ayashii),莉莉丝(最近雇佣的女仆有点怪)
huwari_(dnwls3010),Huwari
toshizou_(0714),Toshizou
raven_cronwell,Raven_Cronwell
marie_antoinette_alter_(fate),玛丽·安托瓦内特Alter(Fate)
ace_attorney_investigations_2:_prosecutor's_gambit,逆转检事2
fighter_(dungeon_and_fighter),格斗家(地下城与勇士)
sanbou,Sanbou
nhaliz,Nhaliz
cu_chulainn_(fate/prototype),库·丘林(Fate/Prototype)
yomiko_readman,读子·利德曼
geokinesis,地元素控制
suenari_(peace),Suenari
tokunaga_(tales),Tokunaga
alchemy,炼金术
shirt_tan,衬衫晒痕
curss,Curss
aoi_kujira,Aoi_Kujira
valefal_coneri,Valefal_Coneri
pururut,普普露
arakune,亚拉酷泥
pokemon_day,宝可梦日
shoujo_to_ura_roji,少女与后街
go_back!,Go_back!
go_robots,Go_Robots
iroha_(shiki),Iroha
valkyrie_(p&d),Valkyrie(P&D)
kazami_mizuho,风见瑞穗
komb,Komb
kitashirakawa_anko,北白川馅子
leogust,Leogust
patamon,巴达兽
little_girl_admiral_(kancolle),幼女提督(舰C)
nagatekkou,手甲
oomiya_shinobu,大宫忍
jin_akhr,Jin_Akhr
yamagami_karuta,山神卡露塔
nijou_ryuu,二净龙
legendary_super_saiyan,传说中的超级赛亚人
snoring,打鼾
condenser_unit,空调外机
ruggie_bucchi,Ruggie_Bucchi
headboard,床头板
shogi_piece,将棋棋子
sheep_boy,羊男孩
sun_glare,太阳眩光
snoot_challenge,Snoot_Challenge
komainu_girl,狛犬娘
zain_(omaru_polka),Zain
whip_(kof),Whip(拳皇)
tedeza_rize's_school_uniform,天与座理世的校服
kotatsu_kaya,Kotatsu_Kaya
shigure_kai_san_(swimsuit)_(kancolle),时雨改三(泳装)(舰C)
jack-o'-lantern_ornament,南瓜灯装饰
mienshao,师父鼬
cloritin,Cloritin
sakurato_ototo_shizuku,Sakurato_Ototo_Shizuku
dancho_(dancyo),Dancho
arrest,逮捕
kanachirou,Kanachirou
turisasu,Turisasu
asameshi,Asameshi
sora_yori_mo_tooi_basho,比宇宙更远的地方
nextoad,Nextoad
q_azieru,奎曼沙
aleksandra_i._pokryshkin,亚历山德拉·I·波克雷什金
sameda_koban,Sameda_Koban
usatsuka_eiji,Usatsuka_Eiji
andou_you,安藤优
wafer,威化饼
yuuta_(monochrome),Yuuta
kohaku_(yua),Kohaku
nyifu,Nyifu
platform,站台
playstation_5,PS5
gunner_(sekaiju),枪手(世界树迷宫)
ryuushen,绿仙
kyu-kurarin_(cevio),Q-Kurarin(CeVIO)
mash_kyrielight_(ortenaus),玛修·基列莱特(奥特瑙斯)
tottoto_tomekichi,Tottoto_Tomekichi
tiktok,抖音
mikazuki_augus,三日月·奥古斯
hanazono_yurine,花园百合铃
intravaginal_futanari,阴道内扶他
asutora-chan,Asutora-chan
card_game,卡牌游戏
untied_bikini_bottom,解开的比基尼下装
sakimiya_iruka,咲宫入华
naga_the_serpent,娜迦
evil_twin_lil-la,邪恶双子_李拉
folait,Folait
holding_candy_apple,拿着苹果糖
lion_mane,狮鬃
fuse_tail,导火索尾巴
relm_arrowny,莉姆·阿罗尼
satou_lilly,Satou_Lilly
salome_(one_piece),萨罗梅(海贼王)
irasutoya_challenge,Irasutoya_Challenge
tsumugi_wenders,纺·文德斯
filo_(tate_no_yuusha_no_nariagari),菲洛(盾之勇者成名录)
in_(ain),In
jaguar_boy,美洲豹男孩
st_(youx1119),St
kohinata_hoshimi,小日向星海
partially_opaque_glasses,半透明眼镜
saizu_nitou_gunsou,Saizu_Nitou_Gunsou
munlu_(wolupus),Munlu
cream_cod,Cream_Cod
li_shuwen_(fate),李书文(Fate)
paripi_koumei,派对浪客诸葛孔明
mieruko-chan,看得见的女孩
emma_august,Emma_August
nishimiya_shouko,西宫硝子
emil_(nier),埃米尔(尼尔)
painwheel_(skullgirls),Painwheel(骷髅女孩)
ripu_(lipi),Ripu
dusknoir,黑夜魔灵
sidonia_no_kishi,希德尼娅的骑士
mizuhara_yuu,Mizuhara_Yuu
nero_claudius_(bride)_(third_ascension)_(fate),尼禄·克劳狄乌斯(花嫁)(三破)(Fate)
magical_mirai_miku_(2016),魔法未来初音(2016)
rizu-kyun,Rizu-kyun
banpai_akira,晚杯晃
elu_(nijisanji),Elu(彩虹社)
hou_(hachiyou),Hou
sen'yuu_yuuji,Sen'yuu_Yuuji
nuka_(nvkka),Nuka
nanatsuiro_drops,七色星露
kurohebi,Kurohebi
sumeragi_aika,皇蓝华
katatsuka_kouji,Katatsuka_Kouji
murakami_tomoe,村上巴
yoshito,Yoshito
mimoto_(aszxdfcv),Mimoto
pink_buruma,粉体操服
karate,空手道
scarlet_ibis_(kemono_friends),美洲红鹮(兽娘动物园)
blue_hawaii,蓝色夏威夷
shizuku_murasaki,Shizuku_Murasaki
akayama_yukihe,Akayama_Yukihe
