kinoshita_hinata,木下日向
roarke_(lavenderincubus),Roarke
commandant_(pgr),指挥官(战双帕弥什)
leoparde_(mahou_shoujo_ni_akogarete),Leoparde(憧憬成为魔法少女)
itasha,痛车
yoshida_ryouko,吉田良子
yashiro_kizuku,Yashiro_Kizuku
loona_(helluva_boss),Loona(极恶老大)
belly_dancing,肚皮舞
akumi_(yoclesh),Akumi
dorothy_haze,Dorothy_Haze
mezashi_(mezamashi_set),Mezashi
ray_(arknights),莱伊(明日方舟)
castlevania:_rondo_of_blood,恶魔城X：血之轮回
stu_dts,Stu_dts
shenbei_xiaoqiu,Shenbei_Xiaoqiu
ryokan,旅馆
original_remodel_(kantai_collection),原创改造(舰C)
mazda_rx-7,马自达RX-7
urasekai_picnic,里世界郊游
marijuana,大麻
dishing,Dishing
nyaa_(nnekoron),Nyaa
winged_pikmin,羽翅皮克敏
snow_white_(disney),白雪公主(迪士尼)
salt_bae_(meme),撒盐哥(梗)
nepolabo,Nepolabo
fujiyama_ichiha,Fujiyama_Ichiha
muntins,窗棂
mail,邮件
otome_gee_sekai_wa_mob_ni_kibishii_sekai_desu,乙女游戏世界对路人角色很不友好
biting_own_thumb,咬自己拇指
araiguma-san,Araiguma-san
ultra_kaijuu_gijinka_keikaku,奥特怪兽拟人化计划
hiyoku_no_crosspiece,Hiyoku_No_Crosspiece
japanese_postal_mark,日本邮政标志
akusema,Akusema
yuisis_(granblue_fantasy),尤伊西斯(碧蓝幻想)
grandia_lee,Grandia_Lee
cocq_taichou,Cocq_Taichou
amane_kurumi,天音古都美
united_states_navy,美国海军
rikuguma,Rikuguma
viola_(pokemon),紫罗兰
kofune_ushio,小舟潮
evandragon,Evandragon
akamatsu_ken,赤松健
shining_hearts,光明之心
kusuribe,Kusuribe
hi_(ibisf5umauma),Hi
kyuutou_(kyuutouryuu),Kyuutou
sunanuko_(ramuneko),Sunanuko
orenchi_no_meidosan,我家的女仆小姐
kathryne_keyron,Kathryne_Keyron
ka-class_submarine,卡级潜艇
nanase_meruchi,Nanase_Meruchi
tamamon,Tamamon
dera_mochimazzui,德拉·米ochi·嘛喫
suisai_(suisao),Suisai
mvp,MVP
ka2,Ka2
gochou_(kedama),Gochou
marshall_k,Marshall_K
kuma_(crimsonvanilla),Kuma
st_ar-15_(mod3)_(girls'_frontline),ST_AR-15(心智升级)(少女前线)
ronove_(umineko),罗诺威(海猫)
feiqizi_(fkey),Feiqizi
bloody_wolf_(elden_ring),血狼(艾尔登法环)
bee_costume,蜜蜂装
kasugai_(de-tteiu),Kasugai
kujou_miyako,九条都
nhk_ni_youkoso!,欢迎加入NHK！
bamboo_print,竹子印花
kosmos_beta,KOSMOS_Beta
brown_sky,棕色天空
fujioka_haruhi,藤冈春绯
steam_from_mouth,嘴里冒热气
syuen_(nikke),舒恩(妮姬)
pauline_(mario),宝琳(马里奥)
pink_serafuku,粉水手服
chocolate_doughnut,巧克力甜甜圈
black_car,黑车
makoto_(genshin_impact),真(原神)
pink_tube_top,粉抹胸
kasumi_saika,香隅才佳
thompson/center_contender,汤普森/中心竞争者
kurihara_sakura,栗原樱
nakigitsune's_fox,鸣狐的狐狸
newhalf_with_female,伪娘与女性
archer_(fate/samurai_remnant),Archer(Fate/Samurai_Remnant)
garie_tuman,Garie_Tuman
pokegear,宝可梦领航员
dytm,Dytm
yoshiku_(oden-usagi),Yoshiku
kimtoxic,Kimtoxic
kasuga_haruhi,春日晴阳
hagiwara_rin,萩原凛
aloe_(quiz_magic_academy),Aloe(问答魔法学院)
kihou_no_gotoku_dmc,Kihou_No_Gotoku_DMC
kido_jo,Kido_Jo
morgan_le_fay_(water_princess)_(fate),摩根(冬之女王)(Fate)
yu_(flowerbird3830),Yu
holding_eyeball,拿着眼球
velouria_(fire_emblem),贝罗亚(火焰纹章)
overpass,立交桥
aizen_kunitoshi,爱染国俊
g-spring_goddess_(ishiyumi),G-Spring_Goddess
kokutou_nikke,国东日下
miyakure,Miyakure
flora_(fire_emblem),芙罗拉(火焰纹章)
shiratori_aira_(ensemble_stars!),白鸟蓝良(偶像梦幻祭)
fighting_master_alleyne,战斗教官艾琳
eliskalti,Eliskalti
nazuna_(hidamari_sketch),荠(向阳素描)
clarinet,单簧管
hijikata-san_(m.m),土方先生
thief_(final_fantasy),盗贼(最终幻想)
k_pring,K_Pring
kusanagi_kaoru,草薙薰
kuzu_kow,Kuzu_Kow
renshu_usodayo,Renshu_Usodayo
chaos;head,混沌头
kitasaya_ai,北沙耶爱
cinque_(nanoha),琴柯(奈叶)
asama_tomo,浅间智
belphegor_(umineko),贝尔芬格(海猫)
anzai_romi,安斋萝咪
summoner_(ragnarok_online),召唤师(仙境传说)
mathew_(srmmk_mce),Mathew
sea_slug,海蛞蝓
haruka_natsuki,Haruka_Natsuki
stone_free,石之自由
ether_core,Ether_Core
kawarajima_kou,瓦岛幸
puffer_fish,河豚
emma_millstein,艾玛·米尔斯廷
shimogamo_(shimomo_12),Shimogamo
dinosaur_boy,恐龙男孩
seolla_schweizer,Seolla_Schweizer
tamura_hiyori,田村日和
nannung,Nannung
cid_highwind,西德·海威德
megumin_(cosplay),惠惠(Cosplay)
etou_kanami,卫藤可奈美
nama_udon,Nama_Udon
todoroki_hajime_(1st_costume),轰一(第一套服装)
agnamore,Agnamore
taka_t,Taka_T
akatsuki_(log_horizon),晓(记录的地平线)
link_(cosplay),林克(Cosplay)
gofelem,Gofelem
shirahoshi,白星
kaguya_(blue_archive),辉夜(蔚蓝档案)
team_rocket_grunt,火箭队手下
iwamushi,Iwamushi
churchill_(tank),丘吉尔(坦克)
raft,木筏
hyottoko_mask,火男面具
niles_(fire_emblem),零(火焰纹章)
green_suspenders,绿背带
camp_buddy,Camp_Buddy
pila-pela,Pila-pela
mega_man_x4,洛克人X4
